nohup: ignoring input
extract basic app positions...
extract basic APP categories...
extract app install ratio features...
extract app install number features...
extract creative install num features...
extract user install app number features...
extract creative install ratio features...
extract connectionType position install ratio features...
extract position install ratio features...
extract user_position install ratio features...
extract the num of the user has clicked features from 24000000 to 25000000...
extract user install ratio features...
extract camgaign install ratio features...
extract ad install ratio features...
extract app active hours features...
extract positionID app install ratio features...
extract positionID creative install ratio features...
all samples:   2610941*45
[0]	train-logloss:0.607194	eval-logloss:0.60725
Multiple eval metrics have been passed: 'eval-logloss' will be used for early stopping.

Will train until eval-logloss hasn't improved in 10 rounds.
[108]	train-logloss:0.098626	eval-logloss:0.099252
[109]	train-logloss:0.098618	eval-logloss:0.099243
[110]	train-logloss:0.098608	eval-logloss:0.099231
[111]	train-logloss:0.098594	eval-logloss:0.099214
[112]	train-logloss:0.098587	eval-logloss:0.09921
[113]	train-logloss:0.098571	eval-logloss:0.099195
[114]	train-logloss:0.098559	eval-logloss:0.099185
[115]	train-logloss:0.098546	eval-logloss:0.099175
[116]	train-logloss:0.098538	eval-logloss:0.099167
[117]	train-logloss:0.098521	eval-logloss:0.099148
[118]	train-logloss:0.098516	eval-logloss:0.099142
[119]	train-logloss:0.098503	eval-logloss:0.099129
[120]	train-logloss:0.098494	eval-logloss:0.099119
[121]	train-logloss:0.098487	eval-logloss:0.099112
[122]	train-logloss:0.098477	eval-logloss:0.099106
[123]	train-logloss:0.098467	eval-logloss:0.099092
[124]	train-logloss:0.098459	eval-logloss:0.099083
[125]	train-logloss:0.098452	eval-logloss:0.099076
[126]	train-logloss:0.098442	eval-logloss:0.099063
[127]	train-logloss:0.098429	eval-logloss:0.099051
[128]	train-logloss:0.098421	eval-logloss:0.099042
[129]	train-logloss:0.098396	eval-logloss:0.099016
[130]	train-logloss:0.098385	eval-logloss:0.099007
[131]	train-logloss:0.09838	eval-logloss:0.099002
[132]	train-logloss:0.09837	eval-logloss:0.09899
[133]	train-logloss:0.098348	eval-logloss:0.098967
[134]	train-logloss:0.098339	eval-logloss:0.098961
[135]	train-logloss:0.098329	eval-logloss:0.098952
[136]	train-logloss:0.09832	eval-logloss:0.09894
[137]	train-logloss:0.098311	eval-logloss:0.09893
[138]	train-logloss:0.098304	eval-logloss:0.098922
[139]	train-logloss:0.098296	eval-logloss:0.098915
[140]	train-logloss:0.098286	eval-logloss:0.098904
[141]	train-logloss:0.098277	eval-logloss:0.098893
[142]	train-logloss:0.098266	eval-logloss:0.098882
[143]	train-logloss:0.098252	eval-logloss:0.09887
[144]	train-logloss:0.098243	eval-logloss:0.098862
[145]	train-logloss:0.098232	eval-logloss:0.098851
[146]	train-logloss:0.098219	eval-logloss:0.098835
[147]	train-logloss:0.098216	eval-logloss:0.098832
[148]	train-logloss:0.098213	eval-logloss:0.098828
[149]	train-logloss:0.098207	eval-logloss:0.098823
[150]	train-logloss:0.0982	eval-logloss:0.098816
[151]	train-logloss:0.098192	eval-logloss:0.098807
[152]	train-logloss:0.098187	eval-logloss:0.098802
[153]	train-logloss:0.098183	eval-logloss:0.098798
[154]	train-logloss:0.098177	eval-logloss:0.098793
[155]	train-logloss:0.098155	eval-logloss:0.098771
[156]	train-logloss:0.098146	eval-logloss:0.098765
[157]	train-logloss:0.09805	eval-logloss:0.098666
[158]	train-logloss:0.098	eval-logloss:0.098611
[159]	train-logloss:0.097989	eval-logloss:0.098601
[160]	train-logloss:0.097979	eval-logloss:0.098593
[161]	train-logloss:0.097975	eval-logloss:0.098586
[162]	train-logloss:0.097964	eval-logloss:0.098575
[163]	train-logloss:0.097929	eval-logloss:0.09854
[164]	train-logloss:0.097925	eval-logloss:0.098536
[165]	train-logloss:0.097882	eval-logloss:0.09849
[166]	train-logloss:0.09785	eval-logloss:0.098456
[167]	train-logloss:0.097843	eval-logloss:0.098452
[168]	train-logloss:0.097833	eval-logloss:0.098442
[169]	train-logloss:0.097825	eval-logloss:0.098435
[170]	train-logloss:0.097823	eval-logloss:0.098433
[171]	train-logloss:0.097818	eval-logloss:0.098428
[172]	train-logloss:0.097809	eval-logloss:0.098419
[173]	train-logloss:0.097805	eval-logloss:0.098416
[174]	train-logloss:0.097801	eval-logloss:0.098411
[175]	train-logloss:0.097793	eval-logloss:0.098404
[176]	train-logloss:0.09779	eval-logloss:0.098399
[177]	train-logloss:0.097787	eval-logloss:0.098397
[178]	train-logloss:0.097779	eval-logloss:0.098388
[179]	train-logloss:0.097774	eval-logloss:0.098383
[180]	train-logloss:0.097771	eval-logloss:0.098379
[181]	train-logloss:0.097764	eval-logloss:0.098374
[182]	train-logloss:0.097754	eval-logloss:0.098363
[183]	train-logloss:0.097749	eval-logloss:0.098357
[184]	train-logloss:0.09774	eval-logloss:0.09835
[185]	train-logloss:0.097732	eval-logloss:0.098342
[186]	train-logloss:0.097727	eval-logloss:0.098337
[187]	train-logloss:0.097719	eval-logloss:0.098327
[188]	train-logloss:0.097714	eval-logloss:0.098321
[189]	train-logloss:0.097709	eval-logloss:0.098317
[190]	train-logloss:0.097702	eval-logloss:0.098311
[191]	train-logloss:0.097695	eval-logloss:0.098306
[192]	train-logloss:0.097686	eval-logloss:0.098297
[193]	train-logloss:0.097678	eval-logloss:0.098287
[194]	train-logloss:0.097635	eval-logloss:0.098241
[195]	train-logloss:0.097632	eval-logloss:0.098238
[196]	train-logloss:0.097612	eval-logloss:0.098217
[197]	train-logloss:0.097607	eval-logloss:0.098212
[198]	train-logloss:0.097599	eval-logloss:0.098203
[199]	train-logloss:0.097586	eval-logloss:0.09819
[200]	train-logloss:0.097575	eval-logloss:0.09818
[201]	train-logloss:0.09757	eval-logloss:0.098176
[202]	train-logloss:0.097566	eval-logloss:0.098172
[203]	train-logloss:0.097557	eval-logloss:0.098164
[204]	train-logloss:0.097552	eval-logloss:0.098161
[205]	train-logloss:0.097544	eval-logloss:0.098153
[206]	train-logloss:0.097543	eval-logloss:0.098151
[207]	train-logloss:0.097532	eval-logloss:0.098139
[208]	train-logloss:0.097524	eval-logloss:0.098133
[209]	train-logloss:0.097511	eval-logloss:0.09812
[210]	train-logloss:0.097509	eval-logloss:0.098119
[211]	train-logloss:0.097505	eval-logloss:0.098115
[212]	train-logloss:0.097499	eval-logloss:0.098109
[213]	train-logloss:0.097489	eval-logloss:0.098097
[214]	train-logloss:0.097482	eval-logloss:0.09809
[215]	train-logloss:0.097476	eval-logloss:0.098082
[216]	train-logloss:0.097469	eval-logloss:0.098072
[217]	train-logloss:0.097462	eval-logloss:0.098064
[218]	train-logloss:0.097459	eval-logloss:0.098063
[219]	train-logloss:0.097455	eval-logloss:0.098059
[220]	train-logloss:0.097453	eval-logloss:0.098057
[221]	train-logloss:0.097445	eval-logloss:0.098049
[222]	train-logloss:0.097442	eval-logloss:0.098047
[223]	train-logloss:0.097434	eval-logloss:0.098039
[224]	train-logloss:0.097425	eval-logloss:0.09803
[225]	train-logloss:0.097416	eval-logloss:0.098023
[226]	train-logloss:0.097415	eval-logloss:0.09802
[227]	train-logloss:0.097411	eval-logloss:0.098016
[228]	train-logloss:0.097402	eval-logloss:0.098006
[229]	train-logloss:0.097393	eval-logloss:0.097999
[230]	train-logloss:0.097386	eval-logloss:0.097991
[231]	train-logloss:0.097355	eval-logloss:0.097961
[232]	train-logloss:0.09735	eval-logloss:0.097955
[233]	train-logloss:0.097344	eval-logloss:0.097949
[234]	train-logloss:0.097339	eval-logloss:0.097942
[235]	train-logloss:0.097335	eval-logloss:0.097939
[236]	train-logloss:0.09733	eval-logloss:0.097935
[237]	train-logloss:0.097328	eval-logloss:0.097931
[238]	train-logloss:0.097322	eval-logloss:0.097928
[239]	train-logloss:0.097317	eval-logloss:0.097924
[240]	train-logloss:0.097299	eval-logloss:0.097906
[241]	train-logloss:0.097296	eval-logloss:0.097903
[242]	train-logloss:0.097289	eval-logloss:0.097897
[243]	train-logloss:0.097276	eval-logloss:0.097881
[244]	train-logloss:0.097268	eval-logloss:0.097871
[245]	train-logloss:0.097243	eval-logloss:0.097844
[246]	train-logloss:0.097232	eval-logloss:0.097834
[247]	train-logloss:0.09723	eval-logloss:0.097831
[248]	train-logloss:0.097226	eval-logloss:0.097827
[249]	train-logloss:0.09722	eval-logloss:0.097821
[250]	train-logloss:0.097214	eval-logloss:0.097816
[251]	train-logloss:0.097212	eval-logloss:0.097815
[252]	train-logloss:0.09721	eval-logloss:0.097812
[253]	train-logloss:0.097204	eval-logloss:0.097807
[254]	train-logloss:0.097197	eval-logloss:0.097801
[255]	train-logloss:0.097194	eval-logloss:0.097799
[256]	train-logloss:0.097188	eval-logloss:0.097792
[257]	train-logloss:0.097183	eval-logloss:0.097784
[258]	train-logloss:0.097176	eval-logloss:0.097779
[259]	train-logloss:0.097173	eval-logloss:0.097775
[260]	train-logloss:0.097164	eval-logloss:0.097767
[261]	train-logloss:0.097161	eval-logloss:0.097765
[262]	train-logloss:0.097157	eval-logloss:0.09776
[263]	train-logloss:0.09715	eval-logloss:0.097753
[264]	train-logloss:0.097144	eval-logloss:0.097748
[265]	train-logloss:0.097137	eval-logloss:0.097743
[266]	train-logloss:0.097131	eval-logloss:0.097735
[267]	train-logloss:0.097125	eval-logloss:0.09773
[268]	train-logloss:0.097122	eval-logloss:0.097725
[269]	train-logloss:0.097117	eval-logloss:0.097721
[270]	train-logloss:0.09711	eval-logloss:0.097713
[271]	train-logloss:0.097105	eval-logloss:0.097709
[272]	train-logloss:0.0971	eval-logloss:0.097704
[273]	train-logloss:0.097085	eval-logloss:0.097688
[274]	train-logloss:0.097075	eval-logloss:0.097678
[275]	train-logloss:0.09707	eval-logloss:0.097674
[276]	train-logloss:0.097062	eval-logloss:0.097666
[277]	train-logloss:0.097059	eval-logloss:0.097663
[278]	train-logloss:0.097056	eval-logloss:0.097658
[279]	train-logloss:0.097038	eval-logloss:0.097641
[280]	train-logloss:0.097036	eval-logloss:0.097638
[281]	train-logloss:0.097025	eval-logloss:0.097628
[282]	train-logloss:0.097019	eval-logloss:0.097622
[283]	train-logloss:0.097012	eval-logloss:0.097613
[284]	train-logloss:0.097006	eval-logloss:0.097607
[285]	train-logloss:0.097002	eval-logloss:0.097604
[286]	train-logloss:0.096999	eval-logloss:0.097603
[287]	train-logloss:0.096997	eval-logloss:0.0976
[288]	train-logloss:0.096991	eval-logloss:0.097592
[289]	train-logloss:0.096986	eval-logloss:0.097586
[290]	train-logloss:0.096984	eval-logloss:0.097582
[291]	train-logloss:0.09698	eval-logloss:0.097579
[292]	train-logloss:0.096975	eval-logloss:0.097573
[293]	train-logloss:0.096974	eval-logloss:0.097572
[294]	train-logloss:0.096971	eval-logloss:0.097567
